n,r,m
"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Olympian god})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Olympian god})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Cronus, label: Cronus, type: titan})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Rhea, label: Rhea, type: titan})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: death deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: water deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Hestia, label: Hestia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Aura, label: Aura, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Periboea, label: Periboea, type: Greek nymph})"
"(:Character {id: Aura, label: Aura, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Orithyia, label: Orithyia, type: Greek nymph})"
"(:Character {id: Aura, label: Aura, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Lelantos, label: Lelantos, type: titan})"
"(:Character {id: Aura, label: Aura, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Boreas, label: Boreas, type: personification})"
"(:Character {id: Aura, label: Aura, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Periboea, label: Periboea, type: water deity})"
"(:Character {id: Aura, label: Aura, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Orithyia, label: Orithyia, type: Greek water deities})"
"(:Character {id: Taygete, label: Taygete, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Taygete, label: Taygete, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Menoetius, label: Menoetius, type: titan})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Menoetius, label: Menoetius, type: titan})",[:RELATED {type: father}],"(:Character {id: Iapetos, label: Iapetos, type: titan})"
"(:Character {id: Menoetius, label: Menoetius, type: titan})",[:RELATED {type: mother}],"(:Character {id: Klymene, label: Klymene, type: Greek nymph})"
"(:Character {id: Menoetius, label: Menoetius, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Epimetheus, label: Epimetheus, type: titan})"
"(:Character {id: Menoetius, label: Menoetius, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Prometheus, label: Prometheus, type: titan})"
"(:Character {id: Menoetius, label: Menoetius, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Anchiale, label: Anchiale, type: titan})",[:RELATED {type: father}],"(:Character {id: Iapetos, label: Iapetos, type: titan})"
"(:Character {id: Asteria, label: Asteria, type: titan})",[:RELATED {type: father}],"(:Character {id: Coeus, label: Coeus, type: titan})"
"(:Character {id: Asteria, label: Asteria, type: titan})",[:RELATED {type: mother}],"(:Character {id: Phoebe, label: Phoebe, type: titan})"
"(:Character {id: Asteria, label: Asteria, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Leto, label: Leto, type: titan})"
"(:Character {id: Asteria, label: Asteria, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Perses, label: Perses, type: titan})"
"(:Character {id: Asteria, label: Asteria, type: titan})",[:RELATED {type: mother}],"(:Character {id: Phoebe, label: Phoebe, type: Hamadryad})"
"(:Character {id: Euros, label: Euros, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Euros, label: Euros, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Notus, label: Notus, type: Anemoi})"
"(:Character {id: Euros, label: Euros, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Euros, label: Euros, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Boreas, label: Boreas, type: personification})"
"(:Character {id: Euros, label: Euros, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})"
"(:Character {id: Euros, label: Euros, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Notus, label: Notus, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Notus, label: Notus, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Euros, label: Euros, type: Anemoi})"
"(:Character {id: Notus, label: Notus, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Notus, label: Notus, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Boreas, label: Boreas, type: personification})"
"(:Character {id: Notus, label: Notus, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})"
"(:Character {id: Notus, label: Notus, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Caecias, label: Caecias, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Caecias, label: Caecias, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Caecias, label: Caecias, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Lips, label: Lips, type: wind})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Lips, label: Lips, type: wind})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Lips, label: Lips, type: wind})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Apeliotes, label: Apeliotes, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Apeliotes, label: Apeliotes, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Apeliotes, label: Apeliotes, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Sciron, label: Sciron, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Sciron, label: Sciron, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Sciron, label: Sciron, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Argestes, label: Argestes, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Argestes, label: Argestes, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Argestes, label: Argestes, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Pallas, label: Pallas, type: Giants})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: father}],"(:Character {id: Kreios, label: Kreios, type: titan})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: mother}],"(:Character {id: Eurybia, label: Eurybia, type: Greek water deities})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Pallas, label: Pallas, type: titan})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Perses, label: Perses, type: titan})"
"(:Character {id: Astraeus, label: Astraeus, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: killed by}],"(:Character {id: Athena, label: Athena, type: Olympian god})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: father}],"(:Character {id: Kreios, label: Kreios, type: titan})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: mother}],"(:Character {id: Eurybia, label: Eurybia, type: Greek water deities})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Styx, label: Styx, type: Okeanid})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: killed by}],"(:Character {id: Athena, label: Athena, type: goddess})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Perses, label: Perses, type: titan})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: killed by}],"(:Character {id: Athena, label: Athena, type: Greek deity})"
"(:Character {id: Pallas, label: Pallas, type: titan})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Circe, label: Circe, type: Greek deity})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Pallas, label: Pallas, type: Giants})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: father}],"(:Character {id: Kreios, label: Kreios, type: titan})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: mother}],"(:Character {id: Eurybia, label: Eurybia, type: Greek water deities})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: spouse}],"(:Character {id: Asteria, label: Asteria, type: titan})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Perses, label: Perses, type: titan})",[:RELATED {type: sibling}],"(:Character {id: Pallas, label: Pallas, type: titan})"
"(:Character {id: Phaenon, label: Phaenon, type: Astra Planeta})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Phaenon, label: Phaenon, type: Astra Planeta})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Phaenon, label: Phaenon, type: Astra Planeta})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Pyroeis, label: Pyroeis, type: Astra Planeta})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Pyroeis, label: Pyroeis, type: Astra Planeta})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Pyroeis, label: Pyroeis, type: Astra Planeta})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Maia, label: Maia, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Maia, label: Maia, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Merope, label: Merope, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Merope, label: Merope, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Merope, label: Merope, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Merope, label: Merope, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Sterope, label: Sterope, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Sterope, label: Sterope, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: spouse}],"(:Character {id: Thaumas, label: Thaumas, type: Greek water deities})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Electra, label: Electra, type: Pleiades})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: spouse}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Olympian god})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: household deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Olympian god})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: father}],"(:Character {id: Cronus, label: Cronus, type: titan})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: mother}],"(:Character {id: Rhea, label: Rhea, type: titan})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: spouse}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: spouse}],"(:Character {id: Metis, label: Metis, type: Okeanid})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: Greek deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: spouse}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: death deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: water deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: Olympian god})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: spouse}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Zeus, label: Zeus, type: thunder deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Demeter, label: Demeter, type: Greek deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Olympian god})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: household deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: spouse}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Olympian god})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: father}],"(:Character {id: Cronus, label: Cronus, type: titan})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: mother}],"(:Character {id: Rhea, label: Rhea, type: titan})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: Greek deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: spouse}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Demeter, label: Demeter, type: goddess})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: death deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: spouse}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: water deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: Olympian god})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Hera, label: Hera, type: fertility deity})",[:RELATED {type: spouse}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Olympian god})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: household deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Olympian god})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: father}],"(:Character {id: Cronus, label: Cronus, type: titan})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Rhea, label: Rhea, type: titan})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: Greek deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: Greek deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: death deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Poseidon, label: Poseidon, type: water deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hestia, label: Hestia, type: Olympian god})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Hades, label: Hades, type: Greek deity})"
"(:Character {id: Demeter, label: Demeter, type: goddess})",[:RELATED {type: sibling}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Stilbon, label: Stilbon, type: titan})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Stilbon, label: Stilbon, type: titan})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Stilbon, label: Stilbon, type: titan})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: spouse}],"(:Character {id: Orithyia, label: Orithyia, type: Greek nymph})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: sibling}],"(:Character {id: Euros, label: Euros, type: Anemoi})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: sibling}],"(:Character {id: Notus, label: Notus, type: Anemoi})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: sibling}],"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Boreas, label: Boreas, type: personification})",[:RELATED {type: spouse}],"(:Character {id: Orithyia, label: Orithyia, type: Greek water deities})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: spouse}],"(:Character {id: Iris, label: Iris, type: goddess})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Euros, label: Euros, type: Anemoi})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Notus, label: Notus, type: Anemoi})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: sibling}],"(:Character {id: Boreas, label: Boreas, type: personification})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: spouse}],"(:Character {id: Chloris, label: Chloris, type: Greek nymph})"
"(:Character {id: Zephyrus, label: Zephyrus, type: Anemoi})",[:RELATED {type: spouse}],"(:Character {id: Iris, label: Iris, type: Greek deity})"
"(:Character {id: Celaeno, label: Celaeno, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Celaeno, label: Celaeno, type: Greek nymph})",[:RELATED {type: spouse}],"(:Character {id: Prometheus, label: Prometheus, type: titan})"
"(:Character {id: Celaeno, label: Celaeno, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Alcyone, label: Alcyone, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Alcyone, label: Alcyone, type: Greek nymph})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Dioné, label: Dioné, type: Greek nymph})",[:RELATED {type: mother}],"(:Character {id: Aethra, label: Aethra, type: Greek nymph})"
